,Codigo,Nombre,Unidad,CodigobyCodigo,TitlebyCodigo
7916,HD-4R,PAPEL HIGIENICO FACIAL QUALITY 4/ROLL,PAQ,HD-4R,PAPEL HIGIENICO FACIAL QUALITY 4/ROLL
782,HB19350,PAPEL HIGIENICO DALIA HD 500 C/6 ROLLOS,CAJ,HB19350,PAPEL HIGIENICO DALIA HD 500 C/6 ROLLOS
781,HB19340,PAPEL HIGIENICO DALIA HD 400 C/6 ROLLOS,CAJ,HB19340,PAPEL HIGIENICO DALIA HD 400 C/6 ROLLOS
9587,HB19336,PAPEL HIGIENICO DALIA HD 360 C/6ROLLOS,CAJ,HB19336,PAPEL HIGIENICO DALIA HD 360 C/6ROLLOS
79,HB19318,PAPEL HIGIENICO DALIA HD 180 C/12 ROLLOS,CAJ,HB19318,PAPEL HIGIENICO DALIA HD 180 C/12 ROLLOS
3828,585578,PAPEL HIGIENICO 425 HOJAS KIRKLAD SIGNATURE C/30 ROLLOS,PAQ,585578,PAPEL HIGIENICO 425 HOJAS KIRKLAD SIGNATURE C/30 ROLLOS
534,LIM110,PANUELO FACIAL KLEENEX 90HS C/72 CAJITAS,CAJ,LIM110,PANUELO FACIAL KLEENEX 90HS C/72 CAJITAS
3424,LIM050,PANOS DE MICROFIBRAAMARILLO,PZA,LIM050,PANOS DE MICROFIBRA AMARILLO
224,LIM050,PANOS DE MICROFIBRA AMARILLO,PZA,LIM050,PANOS DE MICROFIBRA AMARILLO
2510,LIM136,PANO DE MICROFIBRA VERDE,PZA,LIM136,PANO DE MICROFIBRA VERDE
162,LIM051,PANO DE MICROFIBRA AZUL,PZA,LIM051,PANO DE MICROFIBRA AZUL
3244,SD-CLC,P COCACOLA 450ML P/24 PZ,PAQ,SD-CLC,P COCACOLA 450ML P/24 PZ
201,TAC-MP-55-XL-H,OVEROL MICROPOROSO CON GORRO Y SIN ZAPATOS TALLA XL C/25,CAJ,TAC-MP-55-XL-H,OVEROL MICROPOROSO CON GORRO Y SIN ZAPATOS TALLA XL C/25
200,TAC-MP-55-LG-H,OVEROL MICROPOROSO CON GORRO Y SIN ZAPATOS TALLA L C/25,CAJ,TAC-MP-55-LG-H,OVEROL MICROPOROSO CON GORRO Y SIN ZAPATOS TALLA L C/25
5986,IMS-OVE428-L,OVEROL MICROPORO CON GORRO Y SIN ZAPATO L C/25 PIEZAS,CAJ,IMS-OVE428-XL,OVEROL MICROPORO CON GORRO Y SIN ZAPATO XL C/25 PIEZAS
6988,ORJ-A,OREJERAAJUSTABLE,PZA,ORJ-A,OREJERA AJUSTABLE
1489,S-19600B,Markal B Paintstik Blanco,PZA,S-19600B,Markal B Paintstik Blanco
341,JYR-1060,MUNEQUERA ELASTICA CON HOJAL PARA DEDO PULGAR NEGRO,PZA,JYR-1060,MUNEQUERA ELASTICA CON HOJAL PARA DEDO PULGAR NEGRO
6944,USB-16,MICRO SD 16 GB,PZA,USB-16,MICRO SD 16 GB
1325,104002,MASKING TAPE AMARILLO 1 X 50 YDS C/32 ROLL TUK TIPO 140,CAJ,14002,DESARMADOR PLANO 5/16X6  MANGO DE ACETANO
5740,101128,MASKING TAPE 72MMX50M C/12 ROLLOS MARCA TUCK,CAJ,11820,REPUESTO PARA NAVAJA UN FILO C/100
9894,CP500,MASKING TAPE 6x55 mts c/144 ROLLOS ALTA TEMPERATURA,CAJ,CP500,MASKING TAPE 6x55 mts c/144 ROLLOS ALTA TEMPERATURA
8033,4015,MASKING TAPE 48X50M,ROL,4015,MASKING TAPE 48X50M
72,101110,MASKING TAPE 48MMX50M C/24 ROLLOS,CAJ,101110,MASKING TAPE 48MMX50M C/24 ROLLOS
1507,101108,MASKING TAPE 36MMX50M C/24 ROLLOS MARCA TUCK,CAJ,101108,MASKING TAPE 36MMX50M C/24 ROLLOS MARCA TUCK
2788,101106,MASKING TAPE 24MMX50MC/36 ROLLOS,CAJ,6100,TAPE TRANSPARENTE 72MMX100M C/24 ROLLOS MARCA INTERTAPE
2127,100530,MASKING TAPE 24MMX50M SHUR TAPE C/36 ROLLOS CP83,CAJ,100530,MASKING TAPE 24MMX50M SHUR TAPE C/36 ROLLOS CP83
112,101106,MASKING TAPE 24MMX50M C/36 ROLLOS,CAJ,6100,TAPE TRANSPARENTE 72MMX100M C/24 ROLLOS MARCA INTERTAPE
1600,101104,MASKING TAPE 18MMX50M C/48 ROLLOS MARCA TUCK,CAJ,101104,MASKING TAPE 18MMX50M C/48 ROLLOS MARCA TUCK
7503,101330-C,MASKING TAPE 12MMX50M SHUR TAPE C/72 ROLLOS CP106,CAJ,101330-C,MASKING TAPE 12MMX50M SHUR TAPE C/72 ROLLOS CP106
7512,4055,MASKING TAPE 12MMX50M C/72 ROLLOSDURASEAL,CAJ,4055,MASKING TAPE 12MMX50M C/72 ROLLOS DURASEAL
55,101102,MASKING TAPE 12MMX50M C/72 ROLLOS MARCA TUCK,CAJ,101102,MASKING TAPE 12MMX50M C/72 ROLLOS MARCA TUCK
7514,99T005-1/2,MASKING TAPE 12MMX50M C/72 ROLLOS,CAJ,99T005-1/2,MASKING TAPE 12MMX50M C/72 ROLLOS
302,3M 6200,MASCARILLA MEDIA CARA 3M 6200,PZA,3M 6200,MASCARILLA MEDIA CARA 3M 6200
6875,16755,MARTILLO PULIDO 20 OZ,PZA,16755,MARTILLO PULIDO 20 OZ
1399,16536,MARRO OCTAGONAL 4 LBS,PZA,16536,MARRO OCTAGONAL 4 LBS
10935,PLM-N,MARCADOR PERMANENTE SHARPIE NEGRO,PZA,PLM-N,MARCADOR PERMANENTE SHARPIE NEGRO
5384,MAQ-FLE,MAQUINA FLEJADORA MOD. MH-FG-200K,PZA,MAQ-FLE,MAQUINA FLEJADORA MOD. MH-FG-200K
313,MGA-MZ-GCI,MANGA DE MEZCLILLA,PAR,MGA-MZ-GCI,MANGA DE MEZCLILLA
1999,70-118-18,MANGA DE KEVLAR DE 18 CON OJAL EN PULGAR,PZA,70-118-18,MANGA DE KEVLAR DE 18 CON OJAL EN PULGAR
312,MGA-CAR,MANGA DE CARNAZA,PAR,MGA-CAR,MANGA DE CARNAZA
6928,MDL-VN,MANDIL DE VINIL,PZA,MDL-VN,MANDIL DE VINIL
284,MDL-MZ,MANDIL DE MEZCLILLA CON BOLSA,PZA,MDL-MZ,MANDIL DE MEZCLILLA CON BOLSA
252,MDL-CAR,MANDIL DE CARNAZA DE 50 X 80 CM,PZA,MDL-CAR,MANDIL DE CARNAZA DE 50 X 80 CM
4689,00-024BK,MALLA NEGRA 24 C/1000,CAJ,00-024BK,MALLA NEGRA 24 C/1000
4812,00-024W,MALLA BLANCA PARA CABELLO 24C/1000 PIEZA,CAJ,00-024W,MALLA BLANCA PARA CABELLO 24  C/1000 PIEZA
10867,PA-41,LINEA DE VIDA,PZA,PA-41,LINEA DE VIDA
30,LIM088,LIMPIADOR WINDEX,GAL,LIM088,LIMPIADOR WINDEX
93,LIM-SARR01,LIMPIADOR SARRICIDAS,GAL,LIM-SARR01,LIMPIADOR SARRICIDAS
1001,LIM-LAV3-ONE,LIMPIADOR MULTIUSOS LAVANDA 19 LTS,BID,LIM-LAV3-ONE,LIMPIADOR MULTIUSOS LAVANDA 19 LTS
189,LIM-LAV2-ONE,LIMPIADOR MULTIUSOS LAVANDA 10 LTS,GAR,LIM-LAV2-ONE,LIMPIADOR MULTIUSOS LAVANDA 10 LTS
92,LIM-LAV1-ONE,LIMPIADOR MULTIUSOS LAVANDA,GAL,LIM-LAV1-ONE,LIMPIADOR MULTIUSOS LAVANDA
729,RCO011,LIMPIADOR DE METALES LIQUIDO SILVO,PZA,RCO011,LIMPIADOR DE METALES LIQUIDO SILVO
2448,LIM089,LIMPIA VIDRIO,PZA,LIM089,LIMPIA VIDRIO
253,11184,LIGA,LIB,11184,LIGA
6104,99G8901,LENTE GOOGLE,PZA,99G8901,LENTE GOOGLE
272,RI-LT-A,LENTE DE SEGURIDAD TRANSPARENTE ANTI EMPANANTE,PZA,RI-LT-A,LENTE DE SEGURIDAD TRANSPARENTE ANTI EMPANANTE
47,RI-LT,LENTE DE SEGURIDAD TRANSPARENTE,PZA,RI-LT,LENTE DE SEGURIDAD TRANSPARENTE
286,RI-LG,LENTE DE SEGURIDAD GRIS,PZA,RI-LG,LENTE DE SEGURIDAD GRIS
314,RI-LCG,LENTE DE SEGURIDAD CUADRADO GRIS,PZA,RI-LCG,LENTE DE SEGURIDAD CUADRADO GRIS
1382,RI-LT-VS,LENTE DE SEGUIRDAD VISITAR,PZA,RI-LT-VS,LENTE DE SEGUIRDAD VISITAR
271,RI-LCT,LENTE DE SEGUIDAD CUADRADO TRANSPARENTE,PZA,RI-LCT,LENTE DE SEGUIDAD CUADRADO TRANSPARENTE
11597,LB-F,LABEL FIFO,PZA,LB-F,LABEL FIFO
6870,10652,JUEGO DE 3 MINI CEPILLO DE ALAMBRE,PZA,10652,JUEGO DE 3 MINI CEPILLO DE ALAMBRE
3477,CF155R,JALADOR HYGIENIC 55CM ROJO,PZA,CF155R,JALADOR HYGIENIC 55CM ROJO
219,LIM033,JALADOR DE AGUA PARA PISO 60,PZA,LIM033,JALADOR DE AGUA PARA PISO 60
872,LIM091,JALADOR DE AGUA PARA PISO 40,PZA,LIM091,JALADOR DE AGUA PARA PISO 40
7129,WCS-037,JABONERA 1000ML HUMO,PZA,WCS-037,JABONERA 1000ML HUMO
229,LIM076,JABON UTIL 10 KG,BOL,LIM067,REPUESTO P/ MOPA
80,JAB-ROM,JABON ROMA 10 KG,BOL,JAB-ROM,JABON ROMA 10 KG
4539,LIMJAB01,JABON NEUTRO PARA PISO JUST CLEAN,GAL,LIMJAB01,JABON NEUTRO PARA PISO JUST CLEAN
2297,LIM031,JABON LIQUIDO PARA TRASTES AXION 400 ml,PZA,LIM103,CUCHARA C/100 PIEZAS
25,LIM032,JABON LIQUIDO PARA TRASTES AXION 2.8 LTS,PZA,LIM032,JABON LIQUIDO PARA TRASTES AXION 2.8 LTS
10781,LIM-NEU,JABON LIQUIDO PARA MANOS NEUTRO 3.78 LTS,GAL,LIM-NEU,JABON LIQUIDO PARA MANOS NEUTRO 3.78 LTS
4540,LIMJAB-ESPUMA,JABON LIQUIDO PARA MANOS ESPUMA,GAL,LIMJAB-ESPUMA,JABON LIQUIDO PARA MANOS ESPUMA
91,LIM-COCO,JABON LIQUIDO PARA MANOS COCO,GAL,LIM-COCO,JABON LIQUIDO PARA MANOS COCO
32,LIM-CHE,JABON LIQUIDO PARA MANOS CHERRY,GAL,LIM-CHE,JABON LIQUIDO PARA MANOS CHERRY
8368,JAB-MXC,JABON LIQUIDO MAS COLOR 4.65L,GAL,JAB-MXC,JABON LIQUIDO MAS COLOR 4.65L
2724,GOJN-20156,JABON DESENGRASANTE GOJO NARANJA,GAL,GOJN-20156,JABON DESENGRASANTE GOJO NARANJA
4098,B145,HUEVERA DE CARTON,PZA,B145,HUEVERA DE CARTON
908,HF.5X14X14,HOJA DE FOAM 0.5MM X14 X14,PZA,HF.5X14X14,HOJA DE FOAM 0.5MM X14 X14 
2279,HE-1 1/4,HOJA DE ESPUMA CC22 NEGRO 14X14X1 3/4 C/V,PZA,HE-1 1/4,HOJA DE ESPUMA CC22 NEGRO 14X14X1 3/4 C/V
2144,12989,HILO PARA ALBANIL,PZA,12989,HILO PARA ALBANIL
51,GT-0007,GUANTE TEJIDO DE ALGODON BLANCO UNITALLA,DOC,GT-0007,GUANTE TEJIDO DE ALGODON BLANCO UNITALLA
276,50-1500-M,GUANTE TEGIDO DE ALGODON M,DOC,50-1500-M,GUANTE TEGIDO DE ALGODON M
2672,BODY0216B,GUANTE TEGIDO DE ALGODON GRIS60g UNITALLA,DOC,BODY0216B,GUANTE TEGIDO DE ALGODON GRIS 60g UNITALLA
1782,BODY0216B,GUANTE TEGIDO DE ALGODON GRIS 60g UNITALLA,DOC,BODY0216B,GUANTE TEGIDO DE ALGODON GRIS 60g UNITALLA
61,BODY0092,GUANTE TEGIDO DE ALGODON BLANCO,DOC,BODY0092,GUANTE TEGIDO DE ALGODON BLANCO
10254,99820,GUANTE SOLDADOR GRIS,DOC,99820,GUANTE SOLDADOR GRIS
1840,321384-M,GUANTE PIEL DE RES TIPO CHOFER CON HEBILLA M,PAR,321384-M,GUANTE PIEL DE RES TIPO CHOFER CON HEBILLA M
1794,321384-L,GUANTE PIEL DE RES TIPO CHOFER CON HEBILLA L,PAR,321384-L,GUANTE PIEL DE RES TIPO CHOFER CON HEBILLA L
299,31-4014,GUANTE PARA SOLDADOR AZUL,DOC,31-4014,GUANTE PARA SOLDADOR AZUL
529,IIT-6012-S,GUANTE NYLON TIPO INSPECCION TALLA S,D,IIT-6011-S,GUANTE DE MICROFIBRA INSPECCION S C/10 PARES
784,IIT-6012-M,GUANTE NYLON TIPO INSPECCION TALLA M,D,IIT-6011-M,GUANTE DE MICROFIBRA INSPECCION M C/10 PARES
8956,66-6413-S,GUANTE NYLON TIPO INSPECCION S TUFF GRIP,DOC,66-6413-S,GUANTE NYLON TIPO INSPECCION S TUFF GRIP
1604,66-6413-L,GUANTE NYLON TIPO INSPECCION L TUFF GRIP,DOC,66-6413-L,GUANTE NYLON TIPO INSPECCION L TUFF GRIP
4329,66-6412-L,GUANTE NYLON TIPO INSPECCION,DOC,66-6412-L,GUANTE NYLON TIPO INSPECCION
7158,GT-0002-XXS,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XXS,DOC,GT-0002-XS,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XS
2184,50-6639PBK-XS,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XS TUFF GRIP,DOC,50-6639PBK-XS,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XS TUFF GRIP
3065,GT-0002-XS,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XS,DOC,GT-0002-XS,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XS
3529,GT-0002-XL,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XL,DOC,GT-0002-XL,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO XL
10486,50-6639PBK-L,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO L TUFF GRIP,DOC,50-6639PBK-L,GUANTE NYLON NEGRO RECUBRIMIENTO DE POLIURETANO L TUFF GRIP
7779,GT-0001-XL,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO XL,DOC,GT-0001-XL,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO XL
622,GT-0001-S,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO S,DOC,GT-0001-S,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO S
554,GT-0001-M,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO M,DOC,GT-0001-M,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO M
524,GT-0001-L,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO L,DOC,GT-0001-L,GUANTE NYLON NEGRO RECUBRIMIENTO DE NITRILO L
41,GT-0002-S,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE POLIURETANO S,DOC,GT-0002-S,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE POLIURETANO S
40,GT-0002-M,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE POLIURETANO M,DOC,GT-0002-M,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE POLIURETANO M
39,GT-0002-L,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE POLIURETANO L,DOC,GT-0002-L,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE POLIURETANO L
3061,GT-0001-XS,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE NITRILO XS,DOC,GT-0001-XS,GUANTE NYLON NEGRO CON RECUBRIMIENTO DE NITRILO XS
762,50-6639G-S,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO S,NaN,50-6639G-S,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO S
761,50-6639G-L,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO L,DOC,50-6639G-L,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO L
59,51-610-8,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO 8,PAR,51-610-8,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO 8
2691,51-610-7,GUANTE NYLON G RECUBRIMIENTO DE POLIURETANO 7,PAR,67-175-10,GUANTE DE NITRILO VERDE 10
2271,GT-0006-XS,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO XS,DOC,GT-0006-XS,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO XS
427,GT-0006-S,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO S,DOC,GT-0006-S,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO S
426,GT-0006-M,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO M,DOC,GT-0006-M,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO M
425,GT-0006-L,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO L,DOC,GT-0006-L,GUANTE NYLON CON RECUBRIMINETO DE NITRILO ESPUMOSO L
4574,506639PW-M,GUANTE NYLON BLANCO RECUBRIMIENTO DE POLIURETANO TALLA M,DOC,506639PW-M,GUANTE NYLON BLANCO RECUBRIMIENTO DE POLIURETANO TALLA M
260,GT-0003-S,GUANTE NYLON BLANCO CON RECUBRIMIENTO DE POLIURETANO S,DOC,GT-0003-S,GUANTE NYLON BLANCO CON RECUBRIMIENTO DE POLIURETANO S
556,GT-0003-M,GUANTE NYLON BLANCO CON RECUBRIMIENTO DE POLIURETANO M,DOC,GT-0003-M,GUANTE NYLON BLANCO CON RECUBRIMIENTO DE POLIURETANO M
555,GT-0003-L,GUANTE NYLON BLANCO CON RECUBRIMIENTO DE POLIURETANO L,DOC,GT-0003-L,GUANTE NYLON BLANCO CON RECUBRIMIENTO DE POLIURETANO L
4247,GT-0004-XS,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO XS,DOC,GT-0004-XS,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO XS
1074,GT-0004-S,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO S,DOC,GT-0004-S,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO S
1073,GT-0004-M,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO M,DOC,GT-0004-M,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO M
1072,GT-0004-L,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO L,DOC,GT-0004-L,GUANTE NYLON ANTIESTATICO RECUBRIMINETO DE POLIURETANO L
115,16-975-9,GUANTE JAPONES C/ PALMA DE LATEX AZUL 9,DOC,16-975-9,GUANTE JAPONES C/ PALMA DE LATEX AZUL 9
114,16-975-8,GUANTE JAPONES C/ PALMA DE LATEX AZUL 8,DOC,16-975-8,GUANTE JAPONES C/ PALMA DE LATEX AZUL 8
4819,66-6411-L,GUANTE ENSAMBLADO DE ALGODON TIPO INSPECTOR PESO MEDIO L,DOC,66-6411-L,GUANTE ENSAMBLADO DE ALGODON TIPO INSPECTOR PESO MEDIO L
844,66-6401CP-L,GUANTE ENSAMBLADO DE ALGODON TIPO INSPECTOR PESO LIGERO L,DOC,66-6401CP-L,GUANTE ENSAMBLADO DE ALGODON TIPO INSPECTOR PESO LIGERO L
196,GT-0008,GUANTE DOBLE PALMA,DOC,GT-0008,GUANTE DOBLE PALMA
4148,41-0001-M,GUANTE DESECHABLE DE POLIETILENO PARA ALIMENTOS C/10 000 M,CAJ,41-0001-M,GUANTE DESECHABLE DE POLIETILENO PARA ALIMENTOS C/10 000 M
9090,42-20WV-XL,GUANTE DE VINIL SIN TALCO C/100 TALLA XL,DIS,40-20WV-L,GUANTE DE NITRILO AZUL HIBRIDO C/100 TALLA L
4709,502801-M,GUANTE DE TEGIDO CON PUNTO PVC AMBOS LADOS TALLA M,DOC,502801-M,GUANTE DE TEGIDO CON PUNTO PVC AMBOS LADOS TALLA M
50,502800-L,GUANTE DE TEGIDO CON PUNTO PVC AMBOS LADOS TALLA L,DOC,502800-L,GUANTE DE TEGIDO CON PUNTO PVC AMBOS LADOS TALLA L
305,67-175-9,GUANTE DE NITRILO VERDE 9,PAR,16-975-9,GUANTE JAPONES C/ PALMA DE LATEX AZUL 9
256,67-175-8,GUANTE DE NITRILO VERDE 8,PAR,67-175-8,GUANTE DE NITRILO VERDE 8
3002,67-175-7,GUANTE DE NITRILO VERDE 7,PAR,67-175-7,GUANTE DE NITRILO VERDE 7
38,67-175-10,GUANTE DE NITRILO VERDE 10,PAR,67-175-10,GUANTE DE NITRILO VERDE 10
2490,43-20WN-BK-XL,GUANTE DE NITRILO NEGRO XL C/100,DIS,43-20WN-BK-L,GUANTE DE NITRILO NEGRO L C/100
11006,43-20WN-BK-S,GUANTE DE NITRILO NEGRO S C/100,DIS,43-20WN-BK-S,GUANTE DE NITRILO NEGRO S C/100
3385,43-20WN-BK-M,GUANTE DE NITRILO NEGRO M C/100,DIS,43-20WN-BK-M,GUANTE DE NITRILO NEGRO M C/100
3195,43-20WN-BK-L,GUANTE DE NITRILO NEGRO L C/100,DIS,43-20WN-BK-L,GUANTE DE NITRILO NEGRO L C/100
7563,IIT-NT-9.5-CR-SM,GUANTE DE NITRILO BLANCO S C/100,CAJ,IIT-NT-9.5-CR-SM,GUANTE DE NITRILO BLANCO S C/100
7562,IIT-NT-9.5-CR-M,GUANTE DE NITRILO BLANCO M C/100,CAJ,IIT-NT-9.5-CR-M,GUANTE DE NITRILO BLANCO M C/100
7561,IIT-NT-9.5-CR-LG,GUANTE DE NITRILO BLANCO L C/100,CAJ,IIT-NT-9.5-CR-LG,GUANTE DE NITRILO BLANCO L C/100
1246,43-20WN-XS,GUANTE DE NITRILO AZUL XS 5 MIL C/100,DIS,43-20WN-XS,GUANTE DE NITRILO AZUL XS 5 MIL C/100
9455,43-80WN-XL,GUANTE DE NITRILO AZUL XL 8 MIL D/50,DIS,43-80WN-XL,GUANTE DE NITRILO AZUL XL 8 MIL D/50
1703,43-20WN-XL,GUANTE DE NITRILO AZUL XL 5 MIL C/100,DIS,43-20WN-XL,GUANTE DE NITRILO AZUL XL 5 MIL C/100
9454,43-80WN-S,GUANTE DE NITRILO AZUL S 8 MIL D/50,DIS,43-80WN-S,GUANTE DE NITRILO AZUL S 8 MIL D/50
411,43-20WN-S,GUANTE DE NITRILO AZUL S 5 MIL C/100,DIS,43-20WN-S,GUANTE DE NITRILO AZUL S 5 MIL C/100
734,TAC-FN-W-XL,GUANTE DE NITRILO AZUL PESADO,PAR,TAC-FN-W-XL,GUANTE DE NITRILO AZUL PESADO
1408,43-80WN-M,GUANTE DE NITRILO AZUL M 8 MIL D/50,DIS,43-80WN-M,GUANTE DE NITRILO AZUL M 8 MIL D/50
323,43-20WN-M,GUANTE DE NITRILO AZUL M 5 MIL C/100,DIS,43-20WN-M,GUANTE DE NITRILO AZUL M 5 MIL C/100
9452,43-80WN-L,GUANTE DE NITRILO AZUL L 8 MIL C/50,DIS,43-80WN-L,GUANTE DE NITRILO AZUL L 8 MIL C/50
385,43-20WN-L,GUANTE DE NITRILO AZUL L 5 MIL C/100,DIS,43-20WN-L,GUANTE DE NITRILO AZUL L 5 MIL C/100
8208,40-20WV-L,GUANTE DE NITRILO AZUL HIBRIDOC/100 TALLA L,DIS,40-20WV-L,GUANTE DE NITRILO AZUL HIBRIDO C/100 TALLA L
8209,40-20WV-M,GUANTE DE NITRILO AZUL HIBRIDO C/100 TALLA M,DIS,40-20WV-M,GUANTE DE NITRILO AZUL HIBRIDO C/100 TALLA M
11311,TAC-NT-PF-M,GUANTE DE NITRILO AZUL C/100 M,DIS,TAC-NT-PF-M,GUANTE DE NITRILO AZUL C/100 M
11310,TAC-NT-PF-L,GUANTE DE NITRILO AZUL C/100 L,DIS,TAC-NT-PF-L,GUANTE DE NITRILO AZUL C/100 L
10907,772-L,GUANTE DE NITRILO AMARILLO DE 26TALLA L,PAR,772-L,GUANTE DE NITRILO AMARILLO DE 26  TALLA L
5188,IIT-6011-S,GUANTE DE MICROFIBRA INSPECCION S C/10 PARES,D,IIT-6011-S,GUANTE DE MICROFIBRA INSPECCION S C/10 PARES
65,IIT-6011-M,GUANTE DE MICROFIBRA INSPECCION M C/10 PARES,D,IIT-6011-M,GUANTE DE MICROFIBRA INSPECCION M C/10 PARES
64,IIT-6011-L,GUANTE DE MICROFIBRA INSPECCION L C/10 PARES,D,IIT-6011-L,GUANTE DE MICROFIBRA INSPECCION L C/10 PARES
1543,41-20WL-S,GUANTE DE LATEX TIPO CIRUJANO SIN TALCO S C/100,DIS,41-20WL-S,GUANTE DE LATEX TIPO CIRUJANO SIN TALCO S C/100
1542,41-20WL-M,GUANTE DE LATEX TIPO CIRUJANO SIN TALCO M C/100,DIS,41-20WL-M,GUANTE DE LATEX TIPO CIRUJANO SIN TALCO M C/100
11144,41-20WL-L,GUANTE DE LATEX TIPO CIRUJANO SIN TALCO L C/100,DIS,41-20WL-L,GUANTE DE LATEX TIPO CIRUJANO SIN TALCO L C/100
23,GRTY-M,GUANTE DE LATEX DOMESTICO AMARILLO M,PAR,GRTY-M,GUANTE DE LATEX DOMESTICO AMARILLO M
210,GRTY-L,GUANTE DE LATEX DOMESTICO AMARILLO L,PAR,GRTY-L,GUANTE DE LATEX DOMESTICO AMARILLO L
1806,41-0038-M,GUANTE DE LATEX AMARILLO RECUBIERTO DE NEOPRENO AZUL M,PAR,41-0038-M,GUANTE DE LATEX AMARILLO RECUBIERTO DE NEOPRENO AZUL M
1021,41-0038-L,GUANTE DE LATEX AMARILLO RECUBIERTO DE NEOPRENO AZUL L,PAR,41-0038-L,GUANTE DE LATEX AMARILLO RECUBIERTO DE NEOPRENO AZUL L
1152,IIT-POLY-M,GUANTE DE INSPECCION TALLA M,DOC,IIT-POLY-M,GUANTE DE INSPECCION TALLA M
7544,93-400,GUANTE DE CARNAZA CORTO,PAR,93-400,GUANTE DE CARNAZA CORTO
12024,SS-RMG-SM,GUANTE DE ACERO INOXIDABLE S,PZA,SS-RMG-SM,GUANTE DE ACERO INOXIDABLE S
12023,SS-RMG-MD,GUANTE DE ACERO INOXIDABLE M,PZA,SS-RMG-MD,GUANTE DE ACERO INOXIDABLE M
1548,BODY1073,GUANTE ANTIESTATICO CON POLIURETANO EN DEDOS TALLA S,DOC,BODY1073,GUANTE ANTIESTATICO CON POLIURETANO EN DEDOS TALLA S
1549,BODY1075,GUANTE ANTIESTATICO CON POLIURETANO EN DEDOS TALLA L,DOC,BODY1075,GUANTE ANTIESTATICO CON POLIURETANO EN DEDOS TALLA L
11210,51-623-S,GUANTE ANTICORTE SIN RECUBRIMIENTO TALLA S,DOC,51-623-S,GUANTE ANTICORTE SIN RECUBRIMIENTO TALLA S
11209,51-623-M,GUANTE ANTICORTE SIN RECUBRIMIENTO TALLA M,DOC,51-623-M,GUANTE ANTICORTE SIN RECUBRIMIENTO TALLA M
11208,51-623-L,GUANTE ANTICORTE SIN RECUBRIMIENTO TALLA L,DOC,51-623-L,GUANTE ANTICORTE SIN RECUBRIMIENTO TALLA L
12019,GT-0009-S,GUANTE ANTICORTE CON RECUBRIMIENTO DE NITRILO S,DOC,GT-0009-S,GUANTE ANTICORTE CON RECUBRIMIENTO DE NITRILO S
